Variable,Etiqueta,Codigo,Valor
tipo_veh,Tipo de vehículo,22,Cuatrimoto
tipo_veh,Tipo de vehículo,23,Furgoneta
tipo_veh,Tipo de vehículo,99,Ignorado
marca_veh,Marca del vehículo,99,Ignorado
color_veh,Color del vehículo,1,Rojo
color_veh,Color del vehículo,2,Blanco
color_veh,Color del vehículo,3,Azul
color_veh,Color del vehículo,4,Gris
color_veh,Color del vehículo,5,Negro
color_veh,Color del vehículo,6,Verde
color_veh,Color del vehículo,7,Amarillo
color_veh,Color del vehículo,8,Celeste
color_veh,Color del vehículo,9,Corinto
color_veh,Color del vehículo,10,Café
color_veh,Color del vehículo,11,Beige
color_veh,Color del vehículo,12,Turquesa
color_veh,Color del vehículo,13,Marfil
color_veh,Color del vehículo,14,Anaranjado
color_veh,Color del vehículo,15,Morado
color_veh,Color del vehículo,16,Rosado
color_veh,Color del vehículo,17,Varios colores
color_veh,Color del vehículo,99,Ignorado
modelo_veh,Modelo del vehículo,9999,Ignorado
g_modelo_veh,Grupo modelo del vehículo,1,1970-1979
g_modelo_veh,Grupo modelo del vehículo,2,1980-1989
g_modelo_veh,Grupo modelo del vehículo,3,1990-1999
g_modelo_veh,Grupo modelo del vehículo,4,2000-2009
g_modelo_veh,Grupo modelo del vehículo,5,2010-2019
g_modelo_veh,Grupo modelo del vehículo,99,Ignorado
tipo_eve,Tipo de evento,1,Colisión
tipo_eve,Tipo de evento,2,Choque
tipo_eve,Tipo de evento,3,Vuelco
tipo_eve,Tipo de evento,4,Caída
tipo_eve,Tipo de evento,5,Atropello
tipo_eve,Tipo de evento,6,Derrape
tipo_eve,Tipo de evento,7,Embarranco
tipo_eve,Tipo de evento,8,Encuneto
tipo_eve,Tipo de evento,99,Ignorado
fall_les,Fallecidos y lesionados,1,Fallecido
fall_les,Fallecidos y lesionados,2,Lesionado
int_o_noint,Internado o no internado,1,Internado
int_o_noint,Internado o no internado,2,No internado
int_o_noint,Internado o no internado,9,Ignorado
estado_con,Estado del conductor,1,No ebrio
estado_con,Estado del conductor,2,Ebrio
estado_con,Estado del conductor,9,Ignorado
