Variable,Etiqueta,Codigo,Valor
mupio_ocu,Municipio de ocurrencia,503,La Democracia
mupio_ocu,Municipio de ocurrencia,504,Siquinalá
mupio_ocu,Municipio de ocurrencia,505,Masagua
mupio_ocu,Municipio de ocurrencia,506,Tiquisate
mupio_ocu,Municipio de ocurrencia,507,La Gomera
mupio_ocu,Municipio de ocurrencia,508,Guanagazapa
mupio_ocu,Municipio de ocurrencia,509,San José
mupio_ocu,Municipio de ocurrencia,510,Iztapa
mupio_ocu,Municipio de ocurrencia,511,Palín
mupio_ocu,Municipio de ocurrencia,512,San Vicente Pacaya
mupio_ocu,Municipio de ocurrencia,513,Nueva Concepción
mupio_ocu,Municipio de ocurrencia,514,Sipacate
mupio_ocu,Municipio de ocurrencia,601,Cuilapa
mupio_ocu,Municipio de ocurrencia,602,Barberena
mupio_ocu,Municipio de ocurrencia,603,Santa Rosa de Lima
mupio_ocu,Municipio de ocurrencia,604,Casillas
mupio_ocu,Municipio de ocurrencia,605,San Rafael las Flores
mupio_ocu,Municipio de ocurrencia,606,Oratorio
mupio_ocu,Municipio de ocurrencia,607,San Juan Tecuaco
mupio_ocu,Municipio de ocurrencia,608,Chiquimulilla
mupio_ocu,Municipio de ocurrencia,609,Taxisco
mupio_ocu,Municipio de ocurrencia,610,Santa María Ixhuatán
mupio_ocu,Municipio de ocurrencia,611,Guazacapán
mupio_ocu,Municipio de ocurrencia,612,Santa Cruz el Naranjo
mupio_ocu,Municipio de ocurrencia,613,Pueblo Nuevo Viñas
mupio_ocu,Municipio de ocurrencia,614,Nueva Santa Rosa
mupio_ocu,Municipio de ocurrencia,701,Sololá
mupio_ocu,Municipio de ocurrencia,702,San José Chacayá
mupio_ocu,Municipio de ocurrencia,703,Santa María Visitación
mupio_ocu,Municipio de ocurrencia,704,Santa Lucía Utatlán
mupio_ocu,Municipio de ocurrencia,705,Nahualá
mupio_ocu,Municipio de ocurrencia,706,Santa Catarina Ixtahuacán
mupio_ocu,Municipio de ocurrencia,707,Santa Clara la Laguna
mupio_ocu,Municipio de ocurrencia,708,Concepción
mupio_ocu,Municipio de ocurrencia,709,San Andrés Semetabaj
mupio_ocu,Municipio de ocurrencia,710,Panajachel
mupio_ocu,Municipio de ocurrencia,711,Santa Catarina Palopó
mupio_ocu,Municipio de ocurrencia,712,San Antonio Palopó
mupio_ocu,Municipio de ocurrencia,713,San Lucas Tolimán
mupio_ocu,Municipio de ocurrencia,714,Santa Cruz la Laguna
mupio_ocu,Municipio de ocurrencia,715,San Pablo la Laguna
mupio_ocu,Municipio de ocurrencia,716,San Marcos la Laguna
mupio_ocu,Municipio de ocurrencia,717,San Juan la Laguna
mupio_ocu,Municipio de ocurrencia,718,San Pedro la Laguna
mupio_ocu,Municipio de ocurrencia,719,Santiago Atitlán
mupio_ocu,Municipio de ocurrencia,801,Totonicapán
mupio_ocu,Municipio de ocurrencia,802,San Cristóbal Totonicapán
mupio_ocu,Municipio de ocurrencia,803,San Francisco el Alto
mupio_ocu,Municipio de ocurrencia,804,San Andrés Xecul
mupio_ocu,Municipio de ocurrencia,805,Momostenango
mupio_ocu,Municipio de ocurrencia,806,Santa María Chiquimula
mupio_ocu,Municipio de ocurrencia,807,Santa Lucía la Reforma
mupio_ocu,Municipio de ocurrencia,808,San Bartolo Aguas Calientes
mupio_ocu,Municipio de ocurrencia,901,Quetzaltenango
mupio_ocu,Municipio de ocurrencia,902,Salcajá
mupio_ocu,Municipio de ocurrencia,903,Olintepeque
mupio_ocu,Municipio de ocurrencia,904,San Carlos Sija
mupio_ocu,Municipio de ocurrencia,905,Sibilia
mupio_ocu,Municipio de ocurrencia,906,Cabricán
mupio_ocu,Municipio de ocurrencia,907,Cajolá
mupio_ocu,Municipio de ocurrencia,908,San Miguel Siguilá
mupio_ocu,Municipio de ocurrencia,909,San Juan Ostuncalco
mupio_ocu,Municipio de ocurrencia,910,San Mateo
mupio_ocu,Municipio de ocurrencia,911,Concepción Chiquirichapa
mupio_ocu,Municipio de ocurrencia,912,San Martín Sacatepéquez
mupio_ocu,Municipio de ocurrencia,913,Almolonga
