name,lat,lon
Tejutla,15.122538,-91.8059644
Santa Ana,16.8083382,-89.8235777
Chisec,15.813015,-90.2896971
Zacualpa,15.0266233,-90.8770542
Quetzaltenango,14.8464612,-91.5194208
San Miguel Chicaj,15.0941889,-90.3944888
Sumpango,14.6470936,-90.7371578
Joyabaj,14.9937877,-90.8042184
Retalhuleu,14.5359621,-91.6780651
Tactic,15.3189504,-90.3513913
Aguacatán,15.342307,-91.31336
Jocotán,14.8211689,-89.3902681
Palencia,14.6680948,-90.3580422
Estanzuela,14.9972462,-89.5731035
Chiquimulilla,14.08764,-90.3807835
San Pedro Sacatepéquez,14.9675936,-91.7780422
San Antonio Huista,15.6501683,-91.7716989
Patzicía,14.6301882,-90.9276994
San Francisco,16.7989153,-89.9342545
Santa Clara la Laguna,14.714886,-91.3035382
Tajumulco,15.083115,-91.9228136
Zona 18,14.6633117,-90.4490222
Barberena,14.3070173,-90.3610716
San Benito,16.9181715,-89.9154884
Santa Elena,16.9152931,-89.8913088
Santo Tomás de Castilla,15.6866305,-88.6118496
Santa Cruz Verapaz,15.3742073,-90.4294643
Jocotenango,14.5787135,-90.7422687
Salcajá,14.8791084,-91.4575439
Mixco,14.6307175,-90.6061595
San Francisco el Alto,14.945113,-91.443109
Almolonga,14.814975,-91.494748
Zunil,14.784802,-91.484805
Los Esclavos,14.2521069,-90.2766597
La Gomera,14.0856228,-91.0516644
El Progreso,14.3567748,-89.8483341
Sansare,14.7457695,-90.1158718
San Manuel Chaparrón,14.5206343,-89.7683857
Santa Cruz Muluá,14.581426,-91.6244991
San Felipe Retalhuleu,14.623599,-91.594952
Jutiapa,14.2922649,-89.8953317
Totonicapán,14.911838,-91.3599703
Jalpatagua,14.1367554,-90.0090511
Chiquimula,14.8005709,-89.5459173
San José Las Cabezas,14.1959351,-90.1201778
La Unión,14.9664746,-89.2902648
Lanquín,15.5749771,-89.9807578
San Pedro Necta,15.491665,-91.765766
Petapa,14.4976914,-90.5560333
Chimaltenango,14.6613043,-90.8193493
San José Poaquíl,14.8180616,-90.9120339
San Juan Comalapa,14.74071,-90.8877062
San Pedro Ayampuc,14.7784345,-90.4529066
Fraijanes,14.4621012,-90.4388234
San Pedro Sacatepéquez,14.6860255,-90.6423944
Cobán,15.4702001,-90.3735065
Flores,16.9298524,-89.8914817
Camojá Grande,15.6369526,-91.9198039
